OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Sodium bisulfite,400,g,500,900,0,900,g,500,1400,600,800,g,250,g,,,,,250,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Sodium borate,4500,g,0,4500,200,4300,g,0,4300,550,3750,g,1250,g,,,,,0,1250,g,0,,,,,250,1000,g,,0,g,0,g,,,150,850,,,,,,,,,,,,,,,,,,,
Sodium bromide,1200,g,0,1200,100,1100,g,0,1100,0,1100,g,1300,g,,,,,300,1000,g,0,,,,,200,800,g,,0,g,0,g,,,200,600,,,,,,,,,,,,,,,,,,,
Sodium carbonate anhydrous,5000,g,0,5000,500,4500,g,0,4500,2000,2500,g,1500,g,,,,,500,1000,g,0,,,,,750,250,g,,1500,g,500,g,10/18/2023,DR: 2758,200,550,,,,,,,,,,,,,,,,,,,
Sodium chloride,3000,g,0,3000,1000,2000,g,0,2000,1000,1000,g,1000,g,,,,,0,1000,g,0,,,,,1000,0,g,,1000,g,1000,g,8/30/2023,DR: 2485,900,100,,,,,,,,,,,,,,,,,,,
Sodium citrate,3000,g,0,3000,200,2800,g,0,2800,2300,500,g,900,g,,,,,0,900,g,0,,,,,100,800,g,,0,g,0,g,,,100,700,,,,,,,,,,,,,,,,,,,
Sodium fluoride,600,g,0,600,0,600,g,0,600,150,450,g,400,g,,,,,100,300,g,0,,,,,0,300,g,,500,g,500,g,8/30/2023,DR: 2485,0,800,,,,,,,,,,,,,,,,,,,
Sodium peroxide,0,g,0,0,0,0,g,0,0,0,0,g,400,g,,,,,0,400,g,0,,,,,100,300,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
Sorbitol,40,g,0,40,0,40,g,0,40,40,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium cobalt nitrate,10,g,500,510,310,200,g,500,700,500,200,g,570,g,,,,,0,570,g,0,,,,,390,180,g,,0,g,0,g,,,0,180,,,,,,,,,,,,,,,,,,,
Sodium hydroxide,2800,g,0,2800,1200,1600,g,1000,2600,2600,0,g,0,g,1500,g,"8/3/2022, 9/2/2022",SI 374,1500,0,g,3000,3000,g,3/23/23,1083,620,2380,g,,1000,g,1000,g,8/30/2023,DR: 2485,380,3000,,,,,,,,,,,,,,,,,,,
Sodium iodide,1050,g,0,1050,0,1050,g,0,1050,450,600,g,300,g,,,,,0,300,g,0,,,,,300,0,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
Sodium lauryl sulfate,1500,g,0,1500,100,1400,g,0,1400,150,1250,g,900,g,,,,,0,900,g,0,2000,g,03/23/23 - 05/08/23,1083 /1197,1500,1400,g,,0,g,0,g,,,400,100,,,,,,,,,,,,,,,,,,,
Sodium nitrate,150,g,500,650,150,500,g,500,1000,350,650,g,300,g,,,,,0,300,g,0,,,,,300,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium nitrite,500,g,0,500,0,500,g,0,500,0,500,g,1000,g,,,,,200,800,g,0,,,,,150,650,g,,0,g,0,g,,,50,600,,,,,,,,,,,,,,,,,,,
Sodium nitroprusside,300,g,0,300,0,300,g,0,300,300,0,g,200,g,,,,,0,200,g,0,,,,,120,80,g,,0,g,0,g,,,0,80,,,,,,,,,,,,,,,,,,,
Sodium oxalate,1400,g,0,1400,0,1400,g,0,1400,0,1400,g,500,g,,,,,500,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
di-Sodium phosphate,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,500,g,05/08/23,1197,470,30,g,,500,g,500,g,10/18/2023,DR: 2755,0,530,,,,,,,,,,,,,,,,,,,
Sodium phosphate Dibasic heptahydrate,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,500,g,3/23/23,1083,0,500,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Sodium phosphate Monobasic heptahydrate,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,500,g,3/23/23,1083,500,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium phosphate,350,g,0,350,0,350,g,0,350,350,0,g,400,g,,,,,400,0,g,500,1000,g,3/23/2023,1083,1000,0,g,,1000,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium laureth sulfate,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,1900,,,,,,,,,,,,,,,,,,,
Sodium sulfate (anhydrous),2800,g,0,2800,150,2650,g,0,2650,150,2500,g,500,g,,,,,0,500,g,0,,,,,500,0,g,,0,g,0,g,,,0,900,,,,,,,,,,,,,,,,,,,
Sodium sulfate,0,g,0,0,0,0,g,0,0,0,0,g,400,g,,,,,200,200,g,0,,,,,200,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium sulfite,5,g,250,255,5,250,g,250,500,350,150,g,600,g,,,,,0,600,g,0,,,,,200,400,g,,0,g,0,g,,,0,400,,,,,,,,,,,,,,,,,,,
Sodium thiosulfate,3400,g,0,3400,200,3200,g,0,3200,200,3000,g,2000,g,,,,,2000,0,g,1000,1000,g,3/23/23,1083,0,1000,g,,0,g,0,g,,,100,900,,,,,,,,,,,,,,,,,,,
Soya Casein,,,,,,,,,,,,,500,g,,,,,0,500,g,0,,,,,100,400,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Spermaceti,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,1000,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Stannic chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Stannous chloride,150,g,0,150,0,150,g,500,650,150,500,g,2050,g,,,,,1950,100,g,0,,,,,0,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Starch,2500,g,1000,3500,0,3500,g,1000,4500,800,3700,g,350,g,,,,,300,0,g,500,1000,g,3/23/23,1084,100,900,g,,0,g,0,g,,,200,700,,,,,,,,,,,,,,,,,,,
Stearic acid,1000,g,0,1000,500,500,g,0,500,0,500,g,700,g,,,,,0,700,g,0,,,,,250,450,g,,0,g,0,g,,,150,300,,,,,,,,,,,,,,,,,,,
Stearyl alcohol,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,1000,g,3/23/23,1084,0,1000,g,,0,g,0,g,,,0,1000,,,,,,,,,,,,,,,,,,,
Strontium chloride,50,g,0,50,50,0,g,0,0,0,0,g,200,g,,,,,0,200,g,0,,,,,50,150,g,,0,g,0,g,,,0,150,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Sublimed sulfur,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,1000,g,250,g,8/30/2023,DR: 2485,0,250,,,,,,,,,,,,,,,,,,,
Sucrose,7500,g,0,7500,1500,6000,g,2500,8500,3500,5000,g,1000,g,,,,,500,500,g,0,,,,,500,0,g,undelivered,1000,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sulfur,200,g,0,200,0,200,g,0,200,0,200,g,1500,g,,,,,0,1500,g,0,,,,,700,800,g,,0,g,0,g,,,200,600,,,,,,,,,,,,,,,,,,,
Talc,2000,g,2000,4000,200,3800,g,2000,5800,1600,4200,g,1150,g,,,,,150,1000,g,0,,,,,400,600,g,,0,g,0,g,,,200,400,,,,,,,,,,,,,,,,,,,
Tannic acid,0,g,0,0,0,0,g,500,500,50,450,g,100,g,,,,,100,0,g,250,100,g,04/12/23,1124,100,0,g,,0,g,0,g,,,0,150,,,,,,,,,,,,,,,,,,,
Tartaric acid,2500,g,0,2500,0,2500,g,0,2500,1100,1400,g,600,g,,,,,0,600,g,0,,,,,150,450,g,,0,g,0,g,,,0,450,,,,,,,,,,,,,,,,,,,
Thioacetamide,1500,g,500,2000,0,2000,g,0,2000,1000,1000,g,550,g,,,,,0,550,g,0,,,,,150,400,g,,0,g,0,g,,,100,300,,,,,,,,,,,,,,,,,,,
Thymol,0,g,0,0,0,0,g,0,0,0,0,g,100,g,,,,,0,100,g,0,,,,,100,0,g,undelivered,500,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Tin granules,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Titanium dioxide,500,g,0,500,0,500,g,0,500,0,500,g,400,g,,,,,0,400,g,0,,,,,50,350,g,,0,g,0,g,,,50,300,,,,,,,,,,,,,,,,,,,
Titanium oxide,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Tragacanth gum,1100,g,0,1100,100,1000,g,0,1000,0,1000,g,1000,g,,,,,1000,0,g,1000,1000,g,3/23/23,1084,0,1000,g,,0,g,0,g,,,0,1000,,,,,,,,,,,,,,,,,,,
Triclosan,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,100,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Trisodium citrate,2300,g,0,2300,0,2300,g,0,2300,0,2300,g,300,g,,,,,0,300,g,0,,,,,0,300,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Trisodium Phosphate,,,,,,,,,,,,,,,,,,,0,0,g,,,,,,300,1200,g,,0,g,0,g,,,0,1200,,,,,,,,,,,,,,,,,,,
"Agar, Triple Sugar Iron",1500,g,0,1500,300,1200,g,0,1200,200,1000,g,500,g,,,,,0,500,g,0,,,,,0,500,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Tyrosine powder,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,100,g,05/08/23,1197,20,80,g,,0,g,0,g,,,20,60,,,,,,,,,,,,,,,,,,,
Tryptophan powder,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Urea,70,g,0,70,0,70,g,250,320,70,250,g,125,g,,,,,125,0,g,250,250,g,3/23/23,1084,0,250,g,,0,g,0,g,,,50,200,,,,,,,,,,,,,,,,,,,
Vanillin AR,,,,,,,,,,,,,,,,,,,0,0,g,,,,,,20,80,g,,0,g,0,g,,,0,80,,,,,,,,,,,,,,,,,,,
White petroleum snow,3000,g,1000,4000,2500,1500,g,2000,3500,2100,1400,g,675,g,1000,g,2-Sep,SI 374,1675,0,g,3000,3000,g,3/23/23,1084,600,2400,g,,0,g,0,g,,,400,2000,,,,,,,,,,,,,,,,,,,
White beeswax,0,g,1000,1000,0,1000,g,0,1000,200,800,g,75,g,,,,,75,0,g,1500,1500,g,3/23/23,1084,500,1000,g,,0,g,0,g,,,200,800,,,,,,,,,,,,,,,,,,,
Xylitol,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Xylose,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,100,g,05/08/23,1197,0,100,g,,0,g,0,g,,,50,50,,,,,,,,,,,,,,,,,,,
Yeast,800,g,0,800,0,800,g,0,800,50,750,g,0,g,,,,,0,0,g,250,500,g,3/23/23,1084,50,450,g,,0,g,0,g,,,250,200,,,,,,,,,,,,,,,,,,,
Yellow beeswax,0,g,250,250,50,200,g,0,200,0,200,g,150,g,,,,,150,0,g,1000,1000,g,3/23/23,1084,100,900,g,,0,g,0,g,,,100,800,,,,,,,,,,,,,,,,,,,
Zinc acetate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Zinc chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,500,g,2-Sep,SI 374,500,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Zinc dust,1400,g,0,1400,150,1250,g,0,1250,0,1250,g,1250,g,,,,,0,1250,g,0,,,,,50,1200,g,,0,g,0,g,,,200,1000,,,,,,,,,,,,,,,,,,,
Zinc oxide,400,g,1000,1400,200,1200,g,1000,2200,800,1400,g,1250,g,,,,,1250,0,g,1500,1500,g,3/23/23,1084,400,1100,g,,0,g,0,g,,,200,900,,,,,,,,,,,,,,,,,,,
Zinc stearate,500,g,0,500,0,500,g,0,500,0,500,g,400,g,,,,,0,400,g,0,,,,,100,300,g,,0,g,0,g,,,100,200,,,,,,,,,,,,,,,,,,,
Zinc sulfate,,,,,,,,,,,,,0,g,250,g,2-Sep,SI 377,100,150,g,0,,,,,50,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Zinc sulfate heptahydrate,1750,g,0,1750,10,1740,g,0,1740,1340,400,g,450,g,,,,,0,450,g,0,,,,,100,350,g,,0,g,0,g,,,0,350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol lamp,30,pcs,0,30,0,30,pcs,0,30,0,30,pcs,,pcs,,,,,0,30,pcs,0,,pcs,,,3,27,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspirator,79,pcs,50,129,49,80,pcs,50,130,0,130,pcs,,pcs,20,pcs,2-Sep,SI 375,50,100,pcs,0,,pcs,,,10,90,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band- aid,0,box,10,10,10,0,box,10,10,10,0,box,,box,,,,,0,0,box,6,6,boxes,03/23/23,SI 1085,0,6,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandage,5,roll,0,5,5,0,roll,0,0,5,0,roll,,roll,,,,,0,0,roll,6,6,rolls,03/23/23,SI 1085,0,6,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bent tube,,,,,,,,,,,,,0,pcs,10,pcs,2-Sep,SI 376,0,10,pcs,0,,pcs,,,0,10,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Oinment,0,pcs,0,0,0,0,pcs,10,10,10,0,pcs,,pcs,,,,,0,0,pcs,6,6,pcs,03/23/23,SI 1085,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cork (big ),0,pack,1,1,1,0,pack,1,1,1,0,pack,,pack,,,,,0,0,pack,1,1,pack,03/23/23,SI 1085,20,8,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cork (small ),0,pack,1,1,1,0,pack,1,1,0,1,pack,,pack,,,,,0,1,pack,1,1,pack,03/23/23,SI 1085,0,1,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,5,pcks,0,5,5,0,pcks,0,0,0,0,pcks,,pcks,,,,,-1,1,pcks,0,,pcks,,,0,1,pcks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropper ( glass ),30,pcs,0,30,0,30,pcs,0,30,0,30,pcs,,pcs,,,,,0,30,pcs,0,,pcs,,,0,30,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75% Ethyl alcohol,0,bot.,5,5,5,0,bot.,0,0,0,0,bot.,,bot.,5,gal,2-Sep,SI 375,3,2,gal,0,,gal,,,2,0,gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Face Mask,0,box,2,2,2,0,box,3,3,3,0,box,,box,,,,,0,0,box,2,2,boxes,03/23/23,SI 1085,0,2,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter paper,0,box,1,1,0,1,box,2,3,2,1,box,,box,,,,,1,0,box,1,1,box,03/23/23,SI 1085,2,1,box,out of sctock,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass tubing,0,pcs,1,1,0,1,pcs,50,51,7,44,roll,,roll,,,,,33,11,roll,0,,roll,,,1,10,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Peroxide,0,bot,10,10,10,0,bot,10,10,10,0,bot,,bot,,,,,0,0,bot,6,6,bot,03/23/23,SI 1085,0,6,bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lens paper,2,pcs,0,2,0,2,pcs,0,0,0,0,pcs,,pcs,2,pads,2-Sep,SI 375,1,1,pcs,0,,pcs,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litmus paper (blue),5,vial,5,10,1,9,vial,5,14,9,5,vial,,vial,,,,,1,4,vial,0,,vial,,,2,2,vial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litmus paper (red),5,vial,5,10,1,9,vial,5,14,9,5,vial,,vial,,,,,1,4,vial,0,,vial,,,2,2,vial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysol disinfectant liquid,0,pcs,0,0,0,0,pcs,2,2,1,1,pcs,,pcs,1,gal,2-Sep,SI 375,1,0,gal,0,,gal,,,0,0,gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysol spray,0,pcs,0,0,0,0,pcs,0,0,0,0,pcs,,pcs,1,pc,2-Sep,SI 375,1,0,pcs,0,1,pcs,02/06/23,SI 904 / DR 991,0,0,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium ribbon,0,roll,0,0,0,0,roll,0,0,0,0,roll,,roll,,,,,0,0,roll,1,5,roll,02/06/23 - 03/23/23, 904 / 1082,0,17,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Povidone- iodine (60 ml,0,bot.,6,6,6,0,bot.,6,6,6,0,bot.,,bot.,,,,,0,0,bot.,6,6,bot.,02/06/23,SI 904 / DR 1034,0,6,bot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagent bottle boston round (60ml),,,,,,0,pcs,0,0,0,0,pcs,,pcs,50,pcs,8/3/2022,SI 20215,0,50,pcs,0,,pcs,,,49,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagent bottle boston round (250ml),,,,,,0,pcs,0,0,0,0,pcs,,pcs,50,pcs,9/2/2022,SI 375,0,50,pcs,0,,pcs,,,0,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagent bottle wide mouth (250ml),,,,,,0,pcs,0,0,0,0,pcs,,pcs,50,pcs,8/3/2022,SI 20215,0,50,pcs,0,,pcs,,,11,39,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber Gloves,0,box,2,2,2,0,box,3,3,3,0,box,,box,3,box,10/27/2022,SI 23563,3,0,box,1,1,box,02/06/23,SI 904 / DR 991,0,0,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber tubing,0,box,1,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,0,1,pcs,0,,pcs,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syringe 1ml,0,box,0,0,0,0,box,1,1,0,1,box,,box,,,,,1,0,box,2,1,boxes,02/06/23,SI 904 / DR 1034,0,3,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syringe 5ml,0,box,0,0,0,0,box,1,1,0,1,box,,box,,,,,0,1,box,0,,box,,,0,0,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test tube brush,56,pcs,50,106,36,70,pcs,50,120,36,83,pcs,,pcs,40,pcs,"8/3/2022, 9/2/2022","SI 375, SI 20215",0,83,pcs,0,,pcs,,,0,83,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thimbles,0,pcs,2,2,0,2,boxes,0,2,0,2,boxes,,boxes,,,,,2,0,boxes,2,,boxes,,,0,0,boxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash bottle (250ml),,,,,,0,pcs,0,0,0,0,pcs,,pcs,30,pcs,8/3/2022,SI 20215,0,30,pcs,0,,pcs,,,0,30,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash bottle (500ml),,,,,,0,pcs,0,0,0,0,pcs,,pcs,30,pcs,8/3/2022,SI 20215,0,30,pcs,0,,pcs,,,6,24,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of  July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wax paper,,,,,,0,box,0,0,0,0,box,,box,2,box,9/2/2022,SI 375,1,1,box,0,,box,,,0,0,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wick ( Alcohol lamp),0,box,0,0,0,0,box,0,0,0,0,box,,box,,,,,0,0,box,0,,box,,,0,0,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wire gauze,100,pcs,0,100,0,100,pcs,0,100,10,90,pcs,,pcs,,,,,0,90,pcs,0,,pcs,,,0,90,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
